brand,vip_discount,market_price,category,price,name
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,玛丽黛佳元气青柠蜜粉饼 雪花青柠  持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,元气青柠蜜粉饼 6g  持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,239,粉饼,238,玛丽黛佳红参润养保湿精华粉饼 柔粉色 定妆粉 裸妆 保湿 自然 遮瑕 干粉 散粉
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,239,粉饼,238,玛丽黛佳红参润养保湿精华粉饼 亮肤色
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,玛丽黛佳元气青柠蜜粉饼 蜜桃青柠 持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 贝壳倾(自然色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 麦栗纱(小麦色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 木兰迟(亮肤色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 落樱海(柔粉色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,6.6折,299,粉底液/膏,198,玛丽黛佳无感大师水域亮肤气垫霜（NEW）20g+20g  持久 保湿 遮瑕 提亮肤色 裸妆 学生 粉底液 cc霜
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,299,粉底液/膏,298,玛丽黛佳红参润养精华粉底液 亮肤色 质地轻盈 柔滑妆容 通透无暇 真实自然
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,299,粉底液/膏,298,玛丽黛佳红参润养精华粉底液 樱粉色 质地轻盈 柔滑妆容 通透无暇 真实自然
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,299,粉底液/膏,298,玛丽黛佳红参润养精华粉底液 象牙色 质地轻盈 柔滑妆容 通透无暇 真实自然
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉底液/膏,145,玛丽黛佳无感大师光感无瑕水凝霜 木兰迟(亮肤色) 轻薄裸妆 持久遮瑕 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉底液/膏,145,玛丽黛佳无感大师光感无瑕水凝霜 麦栗纱(小麦色)  轻薄裸妆 持久遮瑕 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,9.4折,199,粉底液/膏,188,玛丽黛佳无感大师水润保湿饰底乳 木兰迟（亮肤色）粉底液 40ml 妆前打底 光泽无暇 滋润活肤
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,118,粉底液/膏,99,玛丽黛佳平衡控油新颜乳液 40ml  控油 补水 持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,98,粉底液/膏,81,玛丽黛佳水盈弹力新颜乳液 40ml  补水 轻透 修饰
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,299,粉底液/膏,298,玛丽黛佳红参润养精华粉底液 柔粉色
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉底液/膏,145,玛丽黛佳无感大师光感无瑕水凝霜 落樱海(柔粉色)  轻薄裸妆 持久遮瑕 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,9.4折,199,粉底液/膏,188,玛丽黛佳无感大师水润保湿饰底乳 贝壳倾（自然色）粉底液 40ml 妆前打底 光泽无暇 滋润活肤
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,68,眼线,57,玛丽黛佳酷黑速干眼线水笔 棕色黑版
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,68,眼线,57,玛丽黛佳酷黑速干眼线水笔 黑色 浓黑 流畅 不晕染 易卸妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,68,眼线,57,玛丽黛佳细滑弹力眼线水笔 全新抗晕版 1ml 流畅 不晕染 易卸妆
