brand,sell_type,price,name,discount_price
Facelle,一口价,75,德国原装进口Facelle菲思乐4滴水三包装,75
KAO 花王,一口价,99,Kao 花王酵素护齿美白牙膏 10只装,220
一叶子,一口价,90,一叶子 补水亮采面膜,99
花王（Kao）,一口价,79,花王Kao蒸汽眼罩14片装 3味可选,168
托马斯和朋友/THOMAS&FRIENDS,一口价,115,托马斯和朋友智能健康牙刷-AR深度洁齿版,115
Eaoron,一口价,252.5,EAORON水光针玻尿酸胶原蛋白补水面膜5片装 黑面膜 白面膜 2款可选,457
雅诗兰黛/EsteeLauder,一口价,139,雅诗兰黛小样套装,299
Beauty Bar,一口价,518,日本原装进口Beauty Bar 24k 黃金美容棒  T头,518
金稻,一口价,159,金稻纳米离子喷雾补水仪便携式冷喷KD77A,159
花瑶花,一口价,75,花瑶花金银花舒缓润妍喷雾 270ml,188
oralshark,一口价,85,Oralshark大鲨鱼声波电动牙刷 适合亚洲人 无线充电 超长续航,89
杜蕾斯,一口价,217,杜蕾斯人体润滑液 甜诱草莓  水润芦荟 双瓶组合 缤纷情趣,277
英国ZITALEN,一口价,99,ZITALEN魔术卸妆巾 清水卸妆 一抹无痕 重复使用,398
菲奥娜（iFiona）,一口价,85,IFIONA菲奥娜多功能化妆刷套装 5支装 牙刷型,100
高夫,一口价,158,高夫：男士古龙水0号 60ml  馥奇香型,198
FORENCOS,一口价,118,Forencos 恋恋不忘系列唇膏指甲油礼盒装 持久饱满 一见倾心,118
阿玛尼/Armani,一口价,409,阿玛尼寄情水男士淡香水50ml,409
ck,一口价,139,CK因为你喜欢你淡香水50ml 男士,199
迪奥（Dior）,一口价,459,迪奥DIOR梦幻美肌气垫修颜霜（15g +15g替换装）,499
兰蔻,一口价,299,法国兰蔻女士miracle香水香氛30ml 50ml 100ml,359
资生堂/Shiseido,一口价,209,新品 资生堂盼丽风姿洁面洁面套装,300
娇韵诗/Clarins,一口价,289,娇韵诗套盒 护肤套盒 彩妆套盒可选,339
兰蔻,一口价,759,兰蔻小黑瓶系列套装,799
希思黎/Sisley,一口价,465,新品 希思黎植物洁面摩丝125ml,569
Exideal,一口价,1899,日本Exideal LED大排灯小排灯家用光疗美容器,1899
金稻,一口价,118,金稻负离子直发梳    多功能造型,179
韩粉,一口价,98,韩粉世家极光闪耀柔润唇膏3.5g,98
化妆品1,一口价,398,精品套包 韩束聚时光奢养奇肌礼盒,598
dermanour 多魅诺,一口价,149,Dermanour多魅诺皇冠霜 30g,216
玛丽黛佳,一口价,139,玛丽黛佳元气青柠气垫霜 规格可选,179
DIAFORCE,一口价,109,DIAFORCE 瑞拉迪雅芙丝黄金睡眠眼贴 14对,199
ROSIEN,一口价,99,ROSIEN露丝涂抹式水光针 羊胎素玻尿酸面部精华液,160
DAISO/大创,一口价,59,日本DAISO大创 女性专用 生理用清洗剂 80ml 2瓶装,170
海蓝之谜/LAMER,一口价,1299,LAMER海蓝之谜浓缩修护眼霜 15ml,1700
奔腾,一口价,89,奔腾（POVOS） PR3018电动理发剪 家庭理发器,99
珀莱雅,一口价,118,珀莱雅靓白肌密超级名模BB霜 两色可选,146
DU’IT,一口价,79,新品 澳洲DU'IT 急救手膜 150g 足膜 50g 可选,99
香奈儿,一口价,689,CHANEL香奈儿五号淡香水 EDT50ml,850
香奈儿,一口价,429,CHANEL香奈儿轻盈蜜粉 30g,499
资生堂/Shiseido,一口价,49,日本进口资生堂  可悠然美肌沐浴露  花漾之恋 碧野悠悠 550ml 1瓶装 可选,56
日本VAPE,一口价,119,新品 VAPE 未来3倍驱蚊效果 无味静音电子驱蚊器 150日200日可选,218
Eaoron,一口价,99,澳洲Eaoron水光针3代涂抹式玻尿酸精华原液10ml,149
金稻,一口价,2099,金稻LED彩光嫩肤仪大排灯,2099
欧莱雅,一口价,598,精品套包 欧莱雅金致奢养紧致礼盒,598
CLE DE PEAU,一口价,329,CPB 肌肤之钥 细管盈透唇膏 口红替换装 轻吻盈透 甜蜜丝滑,369
番茄派,一口价,69,番茄派 猪皮胶原弹力蜡膜美足护理 160ml 2瓶,260
BEELY,一口价,129,彼丽西柚轻盈清体足贴 60贴一盒 2盒装,149
BOTANIST植物学家,一口价,118,新品 BOTANIST植物学家 天然植物精华顺滑洗发水或护发素可选 490ml,168
Eaoron,一口价,109,澳洲eaoron微雕科技面膜 肉毒杆菌驻颜科技面膜1盒5片,149
德尔玛,一口价,419,德尔玛无线电动防水负离子硅胶按摩洗澡刷,419
蔻依,一口价,399,蔻依爱语love story(爱情故事)女士淡香精 50ml   75 ml,419
雅诗兰黛/EsteeLauder,一口价,359,雅诗兰黛全日防护套装 多款可选,499
奥碧虹,一口价,399,新品 澳尔滨清新活润精华液40ml,420
丸美,一口价,368,丸美巧克力丝滑保湿亮肤3件套,378
蔻依,一口价,359,蔻依CHLOE经典同名女士淡香精,419
三生花,一口价,329,百雀羚三生花舒缓细肤嫩妍舒润礼盒,409
圣罗兰/YSL,一口价,419,圣罗兰YSL明彩亮颜粉底液  修饰肤色 定妆服帖 隐形毛孔,439
娇兰（Guerlain）,一口价,309,法国娇兰小黑裙女士淡香水50ml  花果香调,349
娇兰（Guerlain）,一口价,449,法国娇兰幻彩流星亮肤修颜液  30ml  弱化瑕疵  均匀肤色  闪亮底妆,469
娇兰（Guerlain）,一口价,519,法国娇兰金钻修颜粉底液  30ml  畅销的明星粉底液,519
波比布朗,一口价,279,大师级眼线膏 BOBBI BROWN芭比波朗流云眼线膏套装 黑 咖啡 不晕染持久防水,319
资生堂/Shiseido,一口价,59,资生堂洗面奶洗颜柔澈泡沫洁面乳120g 两支装,118
兰蔻,一口价,489,兰蔻小黑瓶精华肌底液 还原年轻肌肤,760
纪梵希,一口价,289,纪梵希新款粉色细管小羊皮  限量变色润唇膏,299
納斯,一口价,239,NARS纳斯炫色腮红胭脂  修饰轮廓 提升气色,239
赫莲娜/HR,一口价,239,HR 赫莲娜浓密卷翘防水睫毛膏  豹纹、蕾丝、蟒蛇纹可选,299
乐敦（ROHTO),一口价,89,乐敦 小红花眼部护理液 隐形适用款8ml普通款8ml 2瓶装,198
御泥坊,一口价,39,御泥坊细嫩黑糖黑面膜 7片,49
阿芙,一口价,149,阿芙精油（茶树 薰衣草可选）10ml,169
阿玛尼,一口价,519,阿玛尼17年新款轻垫丝光清透气垫BB霜粉底液SPF23,519
花皙蔻,一口价,218,新品  花皙蔻氨基酸洁面小白刷  可直接卸妆,277
阿道夫,一口价,98,新品 阿道夫控油清爽洗发洗护洗沐 500g 2件套 可选,167
海蓝之谜/LAMER,一口价,949,海蓝之谜修护精粹液 150ML 焕活修护,1100
海蓝之谜/LAMER,一口价,1899,海蓝之谜活颜精华露 30ml 修护精华,3000
Lucas,一口价,69,新品 Lucaspapaw 澳洲天然木瓜膏 25g 两支装,90
ESPOIR,一口价,158,ESPOIR爱茉莉艾丝珀长柄粉底刷BB霜刷,158
圣罗兰/YSL,一口价,219,新品  YSL圣罗兰莹亮灿金唇彩情挑诱吻唇蜜 滋润保湿,289
歌歌兰妮,一口价,159,歌歌兰妮祖马龙香水礼盒,229
香奈儿/Chanel,一口价,278,香奈儿ROUGE ALLURE炫亮魅力丝绒唇膏3.5g,308
欧蕙,一口价,89,O HUI 欧蕙 水分超值3件套迷你装,139
雪花秀/SULWHASOO,一口价,59,新品 雪花秀Sulwhasoo滋晶洗面奶迷你装,109
御泥坊,一口价,179,御泥坊红石榴鲜活焕采弹润紧致4件套,488
植美村,一口价,59,植美村蜡菊多效修护日夜眼霜 2支装,316
倍轻松,一口价,119,Breo倍轻松红色硅胶洁面仪,119
倍轻松,一口价,128,倍轻松 mini硅胶洁面仪（二代升级版）梦幻粉色 毛孔清洁,529
KISS,一口价,55,KISS 彩虹气垫梳 缤纷色彩,59
阿道夫,一口价,85,阿道夫幽香舒体润肤乳 500ml,98
雷瓦,一口价,109,雷瓦女士专用充电式剃毛器   脱毛洗脸二合一套装  全身水洗 腿毛腋毛全身可剃,189
菲拉格慕/Ferragamo,一口价,175,菲拉格慕蓝色经典 非凡之旅男士淡香水  撩妹必备,239
歌歌兰妮,一口价,128,法国香氛世家歌歌兰妮致青春淡香水两瓶装,594
whoo/后,一口价,3049,whoo 天气丹皇后套装11件套,3500
POLA,一口价,718,新品 POLA 新款局部淡斑精华 20g,900
POLA,一口价,4099,新品 POLA宝丽BA GRANDLUXE第2代极光焕彩精华液50g,4500
兰蔻,一口价,719,兰蔻紧致系列套装,1099
BEELY,一口价,138,BEELY彼丽西柚轻盈 艾草生姜足贴 可选 60贴 2盒装,268
P&S,一口价,464,P＆S倾心奢宠限量版,464
戴森/Dyson,一口价,2999,Dyson戴森吹风机 Supersnoic HD01  三色可选,2999
迪奥（Dior）,一口价,499,缪缪同名女士淡香精50ml  100ml 红盖 黄盖 可选,499
LABO体研究所,一口价,19.9,【限量秒杀】Lena多功能卷发器 全新升级版S6T   急速升温,138
迪奥（Dior）,一口价,399,迪奥STAR光采星凝亮肌粉底液SPF30 30ml  两色可选,459
尤妮佳（Unicharm）,一口价,54,Unicharm尤妮佳超吸收超省水保湿型化妆棉每盒40枚 3盒装,60
希思黎/Sisley,一口价,468,新品 希思黎黑玫瑰焕采紧致面膜 植物舒缓面膜60ml,599
美康粉黛,一口价,179,美康粉黛御红颜胶囊精华液,199
美迪惠尔(Mediheal),一口价,89,美迪惠尔缤纷8片限量版礼盒装,129
后（Whoo）,一口价,799,the history of whoo拱辰享水妍6件套装,859
魔力鲜颜,一口价,50,魔力鲜颜：黄金备长炭SPA净透水润面膜 5片,64
希思黎/Sisley,一口价,379,希思黎调理护肤水250ml,459
I'M MEME,一口价,89,新品  pony我爱美眉 我爱百变迷你眼影腮红两用盘,109
范思哲/Versace,一口价,209,范思哲云淡风清男士绅情淡香水 香如其名 30ML EDT,380
娇兰（Guerlain）,一口价,199,法国娇兰Guerlain小黑裙甜漾唇膏多色可选  甜美花果香气,219
资生堂/Shiseido,一口价,349,新品 资生堂悦薇抗皱淡化颈纹霜 75g,369
薇新,一口价,16.8,【限量秒杀】WellSkins薇新女士多功能剃毛器,119
水密码,一口价,58,水密码 冰川矿泉清新丝滑洁面乳100g,58
迪奥（Dior）,一口价,479,Dior迪奥花漾甜心小姐淡香水 淡香精 可选,590
圣罗兰/YSL,一口价,219,圣罗兰YSL2017新款情挑诱吻双色夹心唇膏,299
卓蓝雅,一口价,83,卓蓝雅摩洛哥油发膜30ml 10袋一盒,89
CPB/肌肤之钥,一口价,648,CPB 明星光缎钻光粉底液 转油为光,698
DearColor,一口价,59,新色来袭  DearColor可剥甲油胶美甲套组,59
迪奥（Dior）,一口价,459,迪奥Poison Girl毒药系列香水  红毒 白毒,479
金稻,一口价,258,金稻升级款纳米离子冷热温三用蒸脸仪,258
碧欧泉/Biotherm,一口价,319,碧欧泉男士绿活泉补水洁面修护套装 两款可选,340
娇兰（Guerlain）,一口价,309,娇兰幻彩流星粉球 25g,399
纪梵希,一口价,219,新品 纪梵希禁忌之吻黑管霓虹唇膏,299
薇新,一口价,199,WellSkins薇新 美发风筒造型梳,199
HOLA,一口价,109,新品 Hola赫拉牛奶爆浆早晚安面膜5片,198
P&S,一口价,119,P＆S鎏金润色唇膏（口红）,158
卡姿兰,一口价,55,卡姿兰大眼睛持久液体眼线笔+ 大眼睛俏眉立体眉粉,180
雅萌,一口价,1999,日本雅萌射频毛孔清洁按摩美颜仪HRF-1,1999
lena,一口价,139,Lena卷发棒卷直两用 智能温控,159
迪奥（Dior）,一口价,419,Dior迪奥Addict粉漾诱惑护唇膏独立两件套  明亮唇色,459
兰蔻,一口价,479,兰蔻护肤两件套装 护肤水加卸妆乳 粉水蓝水可选,699
美迪惠尔(Mediheal),一口价,89,MEDIHEA L美迪惠尔三重奏焕颜安瓶 4ml 3支装,99
化妆品1,一口价,219,欧莱雅青春密码酵素眼部精华肌底液,289
范思哲/Versace,一口价,239,范思哲晶钻女士淡香水 粉钻明亮香恋水晶EDT 50ml,299
雪花秀/SULWHASOO,一口价,459,SULWHASOO 雪花秀润肤精华60ml,600
GIORGIO ARMANI（COS）,一口价,219,阿玛尼丝绒哑光液体唇膏唇釉   多色可选,289
兰蔻,一口价,249,兰蔻新清滢系列卸妆乳 200ml 400ml,399
VOODOO,一口价,129,VOODOO泰国巫毒娃娃蛇毒免洗睡眠面膜,160
纪梵希,一口价,219,新品 纪梵希禁忌之吻黑管漆光变色唇膏,299
POLA,一口价,899,新品 Pola WRINKLE SHOT 延缓皱纹 精华,959
珀莱雅,一口价,209,SEKKISEI 雪肌精 花妍特色大礼包（化妆棉+化妆水）,299
化妆品1,一口价,199,韩后芽萃水嫩精华水（小嫩水） 120ml每瓶,259
香奈儿,一口价,699,香奈儿摩登COCO小姐女士淡香精 淡香水50ml 100ml COCO小姐女士淡香精EDP100ml,825
boots/博姿,一口价,75,Boots博姿天然小黄瓜系列套装,177
倩碧/Clinique,一口价,249,倩碧水磁场系列 水润保湿润肤霜50ml  水嫩保湿精华霜,299
Aerogard,一口价,119,进口驱蚊合集 Aerogard驱蚊喷雾 Vape驱蚊器 无比滴,218
卡姿兰,一口价,229,卡姿兰蜗牛气垫调控霜CC霜 带替换装,289
herbal whisper荟诗,一口价,259,新品 荟诗海洋矿物美肤泥面膜 清润舒缓喷雾套装 赠面膜5片,577.5
丸美,一口价,329,丸美弹力蛋白日夜眼精华10g+10g,365
卓蓝雅,一口价,96,卓蓝雅无硅生姜洗发浆或护发浆可选 800ml赠8袋小样,193
杜蕾斯,一口价,99,杜蕾斯魔法装超薄系列18只,217
KISS,一口价,59,KISS魔芋洁面海绵扑   Q弹舒适,69
衰败城市,一口价,299,衰败城市 URBAN DECAY NAKED  12色眼影彩盘,319
原生黄,一口价,77,混合单品57片 原生黄七夕特惠组合,352.6
panggao攀高,一口价,379,新品  攀高Pangao 颈椎按摩仪升级版,499
雅诗兰黛/EsteeLauder,一口价,379,雅诗兰黛奢宠白金系列 微分子原生露可选,459
赫莲娜/HR,一口价,269,HR赫莲娜眼部套装 多款可选,399
SK2,一口价,509,SK-II 青春亮眼精華乳15g,799
阿道夫,一口价,98,阿道夫轻柔丝滑洗发水护发素沐浴露 500g 2件套,148
JM Solution/肌司研,一口价,79,JM Solution肌司研润光欧若拉保湿补水提亮肤色面膜,99
GOODSKY,一口价,169,新品  GOODSKY 吸黑头小气泡美容仪,169
LACUES,一口价,369,新品   澳洲LACUES 滚轮式脸部按摩仪,369
祖马龙,一口价,459,祖马龙香水古龙水30ml,469
TT,一口价,175,TT龙血素生物纤维面膜组 3片每盒 两盒装,218
HOLA,一口价,219,新品 Hola赫拉牛奶水光三件套,257
资生堂/Shiseido,一口价,409,新品 资生堂假日精华套装 3款可选,500
Balea,一口价,78,Balea芭乐雅凡士林润肤霜  3盒装,165
奥洛菲,一口价,149,奥洛菲肤安舒缓修护水 120ml,218
阿芙,一口价,149,阿芙荷荷巴油 100ml,298
娇兰（Guerlain）,一口价,289,娇兰臻彩宝石镜子口红固体唇膏 带小镜子 提升气色  滋润双唇,349
爱马仕/Hermes,一口价,399,爱马仕Hermes橘彩星光女士淡香水 淡香精,419
美康粉黛,一口价,45,美康粉黛眼部组合,98
雅萌,一口价,2799,日本雅萌RF射频美颜机HRF-10T  红光美容仪,2799
VT,一口价,169,VT爆款 CICA老虎气垫  21号23号两款可选,298
科颜氏/Kiehls,一口价,79,科颜氏护唇膏1号15ml,109
贝印,一口价,49,贝印红色修眉刀套装,59
BURBERRY,一口价,319,博柏利Burberry经典款英伦风格女士淡香水100ml,339
韩后,一口价,309,韩后海洋臻润肌密礼盒（洁面+水+乳+霜+面膜+小样X2）,389
兰蔻,一口价,219,兰蔻蓝水清滢嫩肤水200ml 400ml,299
歌歌兰妮,一口价,159,一叶子：植物肽玄米亮颜粉润面膜 5片一盒,169
歌丽姬宝,一口价,108.99,歌丽姬宝深海鱼胶原喷雾（短肽喷雾）30mlX3,267
MUHI池田模范堂,一口价,139,澳洲Aerogard 驱蚊喷雾 250ml 1瓶装,169
化妆品1,一口价,109,美宝莲广角旋转刷头睫毛膏 11ml,129
金稻,一口价,179,金稻纳米离子智能补水仪升级版,179
科颜氏/Kiehls,一口价,229,科颜氏高保湿清爽啫喱面霜50ML 水润不油腻,269
珍视明,一口价,49,新品 珍视明通用护眼贴 一盒15对 两盒装,78
滋源,一口价,125,新品 滋源小麦蛋白 洗发水265ml 2瓶装 精华护发素265ml 共3瓶,151
韩后,一口价,218,韩后矿物净肌磁石泥膜90g（含磁石棒）,328
优资莱,一口价,398,精品套包 优资莱绿茶籽精华滋养尊享礼盒,398
柳屋/YANAGIYA,一口价,79,德国欧倍青 Alpecin 洗发露C1    250ml,99
美宝莲,一口价,89,新品 美宝莲大开电眼眼影盘,109
优资莱,一口价,169,优资莱素颜霜套盒（素颜霜+精华油x3）,299
雅诗兰黛/EsteeLauder,一口价,319,雅诗兰黛红石榴鲜活亮采果萃水 200ml  滋润型 清爽型,700
whoo/后,一口价,859,the history of whoo 后 秘贴精华液礼盒6件套,999
韩束,一口价,129,韩束蜗牛弹嫩紧致精华液,129
倩碧/Clinique,一口价,199,新品 倩碧明肌洁肤水系列 多款可选,299
娇韵诗/Clarins,一口价,359,娇韵诗黄水绿吸盘 绿水白吸盘护肤两件套 200ml 400ml套装可选,499
阿玛尼/Armani,一口价,259,Armani阿玛尼新款矮胖子小胖丁丝绒哑光唇釉  万釉引力  一抹上瘾,299
兰蔻/Lancome,一口价,169,兰蔻 速洁眼部卸妆水125ml 温和清洁眼唇彩妆清爽滋润保湿卸妆液,239
迪奥,一口价,419,Dior迪奥粉漾诱惑护唇套装 护唇膏3.5g加唇蜜6ml,459
素野,一口价,159,【预售】素野竹萃净澈两部曲石墨烯面膜,199
海蓝之谜/LAMER,一口价,1899,Lamer海蓝之谜提拉紧致精华30ml,2099
阿玛尼/Armani,一口价,349,阿玛尼GIORGIO ARMANI 挚爱女士淡香水,389
ck,一口价,219,卡文克莱（Calvin Klein）CK free自由飞男士淡香水100ml,239
优资莱,一口价,398,精品套包 优资莱美白淡斑至尊套盒,498
DAISO/大创,一口价,45,DAISO 大创 ER化妆水乳套装,100
JAYJUN,一口价,119,JAYJUN 三部曲面膜 一盒10片  水光针 樱花 两款可选,199
#BBF波波熊,一口价,229,BBF波波熊迷你小熊香水,379
AHC,一口价,135,韩国AHC黄金水24K玻尿酸保湿淡斑爽肤水140ml,200
高姿,一口价,39.9,高姿辣木籽净透洁面膏100g,59
beauty buffet,一口价,69,新品 泰国Beauty Buffet Q10牛奶沐浴露 450ml,99
馥蕾诗,一口价,169,新品 FRESH馥蕾诗澄糖滋润护唇膏 SPF15,205
蝶翠诗（DHC）,一口价,69,日本DHC蝶翠诗睫毛膏底液美容修护液 6.5ml,129
阿芙,一口价,149,阿芙大马士革玫瑰纯露 200ml,199
小蜜坊,一口价,39,小蜜坊亲蜜润唇棒,69
娇兰（Guerlain）,一口价,219,娇兰kiss黑管唇膏  滋润保湿,269
芭莱芭秀,一口价,109,芭莱芭秀水光肌气垫霜（内赠替换装）,218
whoo/后,一口价,370,Whoo 拱辰享鹿茸面膜 气血平衡 弹润肌肤 提拉紧致,450
女装-1,一口价,355,娇韵诗 身体调和抚纹护理油 100ml 娇韵诗孕妇套装 可选,449
阿牛,一口价,68,美康粉黛琴瑟和鸣双色染眉膏 可选色号,98
海蓝之谜/LAMER,一口价,2099,海蓝之谜护肤浓缩修护精华露,2899
SNP,一口价,109,SNP 三参三世面膜套装 18片装,199
雷瓦,一口价,109,雷瓦充电式干湿两用女士剃毛器,109
丸美,一口价,299,百雀羚三生花玲珑玉润花漾补水集五件套,309
香奈儿,一口价,278,CHANEL香奈儿rouge coco可可小姐口红滋润唇膏3.5g,308
阿玛尼/Armani,一口价,479,阿玛尼DESIGNER LIFT设计师V型紧致粉底液SPF20   30ml,499
阿芙,一口价,269,阿芙悦肤精油礼盒 10mlX3,349
番茄派,一口价,110,新品 番茄派温和洁肤卸妆水2瓶,276
whoo/后,一口价,849,whoo 雪 水乳面霜6件套,1000
欧莱雅,一口价,179,欧莱雅复颜柔肤乳（限量版） 125ml,239
杰士邦,一口价,129,新品  杰士邦ZERO零感清薄倍润12只装避孕套,151
相宜本草,一口价,49.9,新品 相宜本草嫩亮补水面膜 每盒5片,61.8
素野,一口价,319,素野奢宠修护精华液  30ml,478
Bb laboratories,一口价,169,日本进口Bblaboratories PH脸部按摩膏 300g,280
海蓝之谜/LAMER,一口价,969,LAMER海蓝之谜精华面霜 奢养宠肤,1450
SNP,一口价,99,新年版SNP燕窝水库面膜 新老版本随机发货,218
爱茉莉,一口价,145,新品 爱茉诗防脱控油洗发水 500g,179
SOS,一口价,99,德国SOS微银保湿润肤霜100mL 身体乳,198
相宜本草,一口价,289,相宜本草橙花透白淡斑小魔盒,506
圣罗兰/YSL,一口价,489,YSL圣罗兰明彩无暇羽毛气垫  超模聚焦光感蕾丝气垫 两款可选,599
韩束,一口价,159,韩束巨水光活妍奢宠礼盒,498
Tom Ford/汤姆福特,一口价,339,Tom Ford tf汤姆福特烈焰幻魅黑管黑金唇膏口红,499
欣兰（DMC）,一口价,135,DMC欣兰黑里透白冻膜225ml,150
GIORGIO ARMANI（COS）,一口价,439,阿玛尼LSF柔亮自然粉底液 纯净持状粉底液,459
Mistine,一口价,69,Mistine浓黑红管防水不晕染眼线笔,99
+的意义,一口价,319,+的意义毛孔净透洗脸仪 洁面仪 经典款,699
御泥坊男士,一口价,129,新品 御泥坊男士祛痘控油茶树套组（洁面100ml两支+面膜10片）,149
自然堂,一口价,85,自然堂雪域精粹洗颜霜 110g,98
雅诗兰黛/EsteeLauder,一口价,899,雅诗兰黛ANR特润眼部面部精华套装 精华50ml 眼霜15ml,1099
Loshi,一口价,66,LOSHI 北海道马油面霜 220g 两罐,98
雅诗兰黛/EsteeLauder,一口价,209,雅诗兰黛倾慕魅色唇膏 持久滋润补水保湿不脱妆,258
睿嫣(ReEn),一口价,75,泰国进口卧佛牌玉菩药堂青草膏50g三罐加15g1罐,99
后（Whoo）,一口价,749,the history of whoo拱辰享气韵生6件套装,819
素野,一口价,139,素野水嫩元气眼膜 8片,169
露得清/Neutrogena,一口价,179,露得清细白焕彩电子面膜仪套组（面罩+控制器）加赠控制器一个,179
森田药妆（DR.Morita）,一口价,109,台湾版 森田玻尿酸复合原液面膜  1盒10片,199
SK2,一口价,359,新品 SK-II活肤洁面乳 120g,400
云南白药,一口价,99,新品 云南白药基础急救包 12件装,159
BEELY,一口价,99,彼丽beely美睫滋养精华液 2.5ml,108
御泥坊,一口价,169,御泥坊多彩开运礼盒（含礼袋）,318
whoo/后,一口价,609,Whoo 后 拱辰享君滋养系列男士套装,799
奥洛菲,一口价,169,奥洛菲早晚眼部精华套（大金蛋）,289
MOROCCANOIL/摩洛哥油,一口价,259,Moroccanoil 摩洛哥柔顺亮泽明星护发精油100ml,298
后（Whoo）,一口价,899,the history of whoo津率享红华凝香6件套装,991
ELIZABETH ARDEN 伊丽莎白雅顿,一口价,99,新品 雅顿绿茶香水身体乳 500ml,129
化妆品1,一口价,99,韩束轻盈透润防晒礼盒,159
碧欧泉/Biotherm,一口价,179,新品 碧欧泉男士水动力洁面啫喱125ml爽肤水200ml保湿露75ml,240
雪花秀/SULWHASOO,一口价,289,雪花秀 Sulwhasoo 木莲花气垫粉底液 采淡致美升级版气垫（15g+替换装15g）,359
雅诗兰黛/EsteeLauder,一口价,849,雅诗兰黛护肤三件套 红石榴洗面奶125ml 滋润水200ml 晚霜50ml,1280
BEELY,一口价,129,新品 彼丽beely淡纹紧致涂抹式美颈膜 30g 两支装,138
爱马仕/Hermes,一口价,539,爱马仕Hermes大地男士淡香水100ml,569
欧莱雅,一口价,339,欧莱雅复颜礼盒,389
BEELY,一口价,69,新品 彼丽除臭植萃净味水 30ml 2瓶装礼盒,99
雅诗兰黛/EsteeLauder,一口价,189,新品 雅诗兰黛净莹柔肤细致焕采洁面乳150ml,255
原生黄,一口价,15,原生黄超薄系列   日用   夜用   月量装,20
藤井,一口价,59.5,藤井染发梳  黑色 酒红色1号（栗色） 酒红色3号（紫红色） 三色可选,69
雅诗兰黛/EsteeLauder,一口价,409,雅诗兰黛鲜活营养红石榴 日霜 晚霜 日晚霜套装可选,620
九朵云,一口价,89,Cloud9 九朵云光彩面霜淡斑面霜50ML,356
菲奥娜（iFiona）,一口价,85,iFiona菲奥娜精油粉底液40ml 妆前乳40ml 可选,169
优资莱,一口价,89,新品 优资莱绿茶氨基酸洁面泡泡,89
dermanour 多魅诺,一口价,149,dermanour 多魅诺胸部护理霜 30g 泰国原装,298
雅诗兰黛/EsteeLauder,一口价,389,雅诗兰黛多效智妍系列 黄金眼霜15ml 黄金面霜 50ml 可选,550
杰士邦,一口价,59,新品  杰士邦水润快感润滑剂50ml,79
Mistine,一口价,69,Mistine 3D立体眉笔 眉粉 染眉膏 咖啡深棕 亚麻浅棕 自然灰黑 三款可选2.45g,99
霸王,一口价,108,新品 霸王防脱育发组合 洗发水200ml加育发液 80ml 两组装,188
高姿,一口价,199,新品 高姿玻尿酸肌活水嫩礼盒,219
珀莱雅,一口价,398,精品套包 珀莱雅水漾芯肌漂流恋语套盒 （清润型）,498
薇新,一口价,1299,品制500认证 WellSkins薇新360°旋转射频面部童颜仪,1699
雪花秀/SULWHASOO,一口价,309,雪花秀 Sulwhasoo 木莲花气垫粉底液 （15g+替换装15g）,399
倩碧/Clinique,一口价,119,倩碧液体洁面皂200ml 温和 清爽 柔性,189
欧莱雅,一口价,109,欧莱雅卸妆套盒 清爽型 倍润型可选,198
科颜氏/Kiehls,一口价,169,科颜氏亚马逊白泥系列 面膜 洁面乳,230
雅诗兰黛/EsteeLauder,一口价,589,雅诗兰黛新款miracle抚痕抗皱精华CP+R,699
薇新,一口价,398,WellSkins薇新超声波黑头清洁美容仪,398
HOLA,一口价,118,新品 Hola赫拉牛奶水光布丁面膜200g,128
Tom Ford/汤姆福特,一口价,579,新品  汤姆·福特 TOM FORD BEAUTY 幻魅四色眼影盘,699
雅诗兰黛/EsteeLauder废弃,一口价,369,雅诗兰黛红石榴眼霜15ml,420
艾柏梵,一口价,109,A.by BOM 艾柏梵 超能婴儿 二部曲金盏花夜间修护面膜 桃花面膜 5片装,234
ReEn/睿嫣,一口价,249,新品LG健康生活 睿嫣头皮护理豪华礼盒11件套 限定版,299
爱马仕/Hermes,一口价,399,爱马仕Hermes 屋顶花园女士淡香水 100ml,469
婵真,一口价,209,新品 婵真银杏清爽盈润水乳2件套,220
迪奥（Dior）,一口价,439,Dior迪奥forever凝脂长效保湿持久哑光气垫粉底液15g,489
圣罗兰/YSL,一口价,429,YSL圣罗兰哑光方管羽毛粉底液SPF18   25ml  清爽控油  自然清透,459
薇风/Wellfon,一口价,98,薇风净颜亮肤黑珍珠面膜 两盒装 共14枚入 排浊净肤 提亮肤色,318
浪漫樱花,一口价,79,日本进口浪漫の樱花大米皂 135g  3个装,99
香奈儿,一口价,399,香奈儿邂逅系列女士淡香水（黄色、绿色、粉色）50ml  100ml,419
三生花,一口价,179,百雀羚三生花缤纷面膜组合30片装,209
+的意义,一口价,89,+的意义毛孔净透洗脸仪 洁面仪 小蚕豆,109
BURBERRY,一口价,179,博柏利Burberry红粉恋歌女士淡香水,199
纪梵希（Givenchy）,一口价,399,纪梵希四宫格幻彩蜜粉饼 轻盈无痕明星散粉,459
SNAILWHITE施妮薇,一口价,99,SNAIL WHITE施妮薇青春蜗牛面霜  30ml,212
雪花秀/SULWHASOO,一口价,1209,雪花秀新款滋阴水乳精华10件套,1399
WILDWOOD,一口价,109,wild wood 邂逅沐浴露 秀身沐浴露 400ml加喷头一个,139
AHC,一口价,109,AHC B5玻尿酸第三代高浓度保湿补水面膜,199
